Index,Position,Salary Estimate,Rating,Company,Location,Industry
0,Senior Data Scientist,$111K-$181K (Glassdoor est.),3.5,"Hopper
3.5","New York, NY",Travel Agencies
1,"Data Scientist, Product Analytics",$111K-$181K (Glassdoor est.),4.5,"Noom US
4.5","New York, NY","Health, Beauty, & Fitness"
3,Data Analyst,$111K-$181K (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",Internet
5,Data Scientist,$111K-$181K (Glassdoor est.),2.9,"IFG Companies
2.9","New York, NY",Insurance Carriers
8,AI Scientist,$111K-$181K (Glassdoor est.),5.0,"Paige
5.0","New York, NY",Enterprise Software & Network Solutions
10,Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Quartet Health
3.9","New York, NY",Enterprise Software & Network Solutions
11,Data Scientist/Machine Learning,$111K-$181K (Glassdoor est.),4.4,"PulsePoint
4.4","New York, NY",Internet
12,"Data Scientist, Acorn AI Labs",$111K-$181K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",Enterprise Software & Network Solutions
13,Data Scientist,$111K-$181K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
14,Data Scientist - Alpha Insights,$111K-$181K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",Investment Banking & Asset Management
15,Data Scientist,$111K-$181K (Glassdoor est.),3.0,"Affinity Solutions
3.0","New York, NY",Advertising & Marketing
16,"Data Scientist, Analytics",$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",Other Retail Stores
17,Data Scientist/ML Engineer,$111K-$181K (Glassdoor est.),3.3,"PA Consulting
3.3","New York, NY",Consulting
18,Data Scientist,$111K-$181K (Glassdoor est.),3.6,"Etsy
3.6","New York, NY",Other Retail Stores
20,"Data Scientist, Disney+ Personalization",$111K-$181K (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY",Motion Picture Production & Distribution
21,"Senior Data Scientist, Data Science Operations",$111K-$181K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",Internet
23,Senior Data Engineer (Healthcare Domain experience required),$111K-$181K (Glassdoor est.),3.4,"Enterprise Integration
3.4","New York, NY",IT Services
24,Data Scientist,$111K-$181K (Glassdoor est.),4.4,"WITHIN
4.4","New York, NY",Advertising & Marketing
25,"Data Scientist, Marketplace Economics",$111K-$181K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",Internet
26,Data Scientist,$111K-$181K (Glassdoor est.),4.1,"Datadog
4.1","New York, NY",Computer Hardware & Software
27,Lead Data Scientist,$111K-$181K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",Insurance Carriers
28,"Data Scientist, Personalization",$111K-$181K (Glassdoor est.),5.0,"Hungryroot
5.0","New York, NY","Health, Beauty, & Fitness"
29,Principal Data Scientist,$111K-$181K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",Insurance Carriers
32,Data Scientist,$120K-$140K (Glassdoor est.),4.3,"Caserta
4.3","New York, NY",IT Services
33,"Data Scientist, Decisions",$120K-$140K (Glassdoor est.),3.7,"Lyft
3.7","New York, NY",Computer Hardware & Software
34,Data Scientist,$120K-$140K (Glassdoor est.),4.3,"IBG LLC
4.3","New York, NY",Brokerage Services
35,Data Scientist,$120K-$140K (Glassdoor est.),3.0,"CLEAR
3.0","New York, NY",Security Services
36,Data Science Analyst,$120K-$140K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",Insurance Carriers
37,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$120K-$140K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",Internet
38,Data Scientist,$120K-$140K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",Casual Restaurants
39,Data Scientist,$120K-$140K (Glassdoor est.),4.2,"infarm
4.2","New York, NY",Food & Beverage Stores
40,Data Scientist for Alpha Insights,$120K-$140K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",Casual Restaurants
41,"Data Scientist, Analytics",$120K-$140K (Glassdoor est.),4.6,"Bowery Farming
4.6","New York, NY",Food Production
42,Data Scientist,$120K-$140K (Glassdoor est.),4.3,"NorthOne
4.3","New York, NY",-1
43,Quantitative Researcher / Quantitative Research Analyst,$120K-$140K (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",Brokerage Services
45,"Data Scientist, Instagram - Well-being, Trust",$120K-$140K (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",Internet
46,Data Science Analyst,$120K-$140K (Glassdoor est.),-1.0,MUSIC & Entertainment,"New York, NY",-1
47,"Data Scientist, Decisions",$120K-$140K (Glassdoor est.),3.9,"Crisis Text Line
3.9","New York, NY",Health Fundraising Organizations
48,Data Scientist,$120K-$140K (Glassdoor est.),3.4,"Casper
3.4","New York, NY",Home Furniture & Housewares Stores
49,Data Scientist/Lead Data Scientist,$120K-$140K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY",Research & Development
50,Quantitative Research Analyst,$120K-$140K (Glassdoor est.),3.6,"Tower Research Capital
3.6","New York, NY",Financial Analytics & Research
51,"Data Scientist, Analytics & Inference",$120K-$140K (Glassdoor est.),3.5,"Codecademy
3.5","New York, NY",Education Training Services
52,Data Analyst,$120K-$140K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
53,CIB - Data Scientist,$120K-$140K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY",Investment Banking & Asset Management
54,Data Scientist,$120K-$140K (Glassdoor est.),3.2,"viagogo
3.2","New York, NY",Internet
55,Data Scientist,$120K-$140K (Glassdoor est.),-1.0,CompIQ,"New York, NY",Enterprise Software & Network Solutions
56,Lead Data Scientist - 66201BR,$120K-$140K (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",Insurance Carriers
57,"Data Scientist, Analytics & Inference",$120K-$140K (Glassdoor est.),-1.0,Codeacademy,"New York, NY",-1
58,Data Scientist,$120K-$140K (Glassdoor est.),4.2,"Gallup
4.2","New York, NY",Consulting
59,"Data Scientist, Buyer Experience",$120K-$140K (Glassdoor est.),3.6,"eBay
3.6","New York, NY",Internet
60,Data Scientist,$120K-$140K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
61,Data Scientist - Forecasting,$120K-$140K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
64,Data Scientist - Machine Learning Platform,$119K-$147K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",Internet
65,Data Scientist - People Analytics,$119K-$147K (Glassdoor est.),-1.0,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1
66,Data Scientist / Engineer,$119K-$147K (Glassdoor est.),5.0,"Snappy
5.0","New York, NY",Internet
67,Data Scientist,$119K-$147K (Glassdoor est.),-1.0,Pierce Technology Corp,"New York, NY",-1
68,Applied Data Scientist,$119K-$147K (Glassdoor est.),3.4,"Aptus Health
3.4","New York, NY",Advertising & Marketing
69,Data Scientist - Analytics Engineer,$119K-$147K (Glassdoor est.),3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Investment Banking & Asset Management
70,People Analytics Data Scientist,$119K-$147K (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",Investment Banking & Asset Management
71,Data Scientist,$119K-$147K (Glassdoor est.),3.0,"Known
3.0","New York, NY",Advertising & Marketing
73,Data Scientist - Nationwide Opportunities,$119K-$147K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
74,Data Scientist,$119K-$147K (Glassdoor est.),3.6,"DoSomething.org
3.6","New York, NY",Social Assistance
75,Data Scientist,$119K-$147K (Glassdoor est.),3.9,"ApTask
3.9","New York, NY",IT Services
76,Data Scientist,$119K-$147K (Glassdoor est.),2.8,"Match Group
2.8","New York, NY",Advertising & Marketing
77,Data Scientist - Power BI,$119K-$147K (Glassdoor est.),4.1,"UCI
4.1","New York, NY",-1
80,Data Engineer (Python),$74K-$124K (Glassdoor est.),4.4,"Conductor
4.4","New York, NY",Internet
81,Data Scientist - Next Gen Digital Investing App,$74K-$124K (Glassdoor est.),3.3,"Forbes Media
3.3","Jersey City, NJ",Publishing
82,Data Scientist,$74K-$124K (Glassdoor est.),2.9,"Interactive Brokers
2.9","New York, NY",Brokerage Services
83,Data Scientist - Disney Streaming Services,$74K-$124K (Glassdoor est.),4.0,"The Walt Disney Company
4.0","New York, NY",Motion Picture Production & Distribution
84,Data Scientist Technical Lead,$74K-$124K (Glassdoor est.),4.4,"Google
4.4","New York, NY",Internet
85,Healthcare Data Scientist,$74K-$124K (Glassdoor est.),3.8,"Milliman
3.8","New York, NY",Consulting
86,Data Scientist - Relocate to Washington D.C.,$74K-$124K (Glassdoor est.),3.8,"CIA
3.8","New York, NY",Federal Agencies
87,Senior Data Scientist,$74K-$124K (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY",Health Care Services & Hospitals
88,Data Scientist,$74K-$124K (Glassdoor est.),-1.0,Huxley Banking & Financial Services,"New York, NY",-1
89,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",$74K-$124K (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",Enterprise Software & Network Solutions
90,"Data Scientist, Analytics- Instagram-Family Stories",$74K-$124K (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",Internet
91,Data Scientist,$74K-$124K (Glassdoor est.),-1.0,One Drop,"New York, NY",Computer Hardware & Software
92,Point72 Data Scientist,$74K-$124K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
93,"Data Scientist II, Data, Models & Decisions",$74K-$124K (Glassdoor est.),3.3,"LivePerson, Inc.
3.3","New York, NY",Internet
94,Data Scientist,$74K-$124K (Glassdoor est.),-1.0,Microagility,"New York, NY",Consulting
95,Data Scientist/Data Architect,$74K-$124K (Glassdoor est.),-1.0,Financial Services Company,"New York, NY",-1
96,AI - Quantitative Research Scientist,$74K-$124K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY",Computer Hardware & Software
97,Data Scientist,$74K-$124K (Glassdoor est.),3.6,"Koch Industries
3.6","New York, NY",Oil & Gas Exploration & Production
98,Data Scientist - Altdata,$74K-$124K (Glassdoor est.),3.3,"Huxley
3.3","New York, NY",Staffing & Outsourcing
99,Data Analyst,$74K-$124K (Glassdoor est.),4.1,"NYU Langone Health
4.1","New York, NY",Health Care Services & Hospitals
100,Data Scientist,$74K-$124K (Glassdoor est.),2.8,"Gate Staffing LLC
2.8","New York, NY",IT Services
101,Data Scientist,$74K-$124K (Glassdoor est.),-1.0,ConcertAI,"New York, NY",-1
102,"Data Scientist, Recommendations",$74K-$124K (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",Other Retail Stores
103,"Data Scientist, Analytics & Insights",$74K-$124K (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",Other Retail Stores
104,Data Scientist,$74K-$124K (Glassdoor est.),2.9,"CKM Advisors
2.9","New York, NY",Consulting
105,Machine Learning Engineer/Scientist,$74K-$124K (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",Investment Banking & Asset Management
106,Point72 Healthcare Data Scientist,$74K-$124K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
107,Senior Data Scientist - Automated Marketing,$74K-$124K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",Internet
108,Data Scientist,$74K-$124K (Glassdoor est.),5.0,"Averity
5.0","New York, NY",Staffing & Outsourcing
109,Data Scientist,$74K-$124K (Glassdoor est.),4.2,"The CARIAN Group
4.2","New York, NY",Consulting
112,Machine Learning & Data Engineer (Remote),$102K-$121K (Glassdoor est.),4.7,"Jun Group Productions LLC
4.7","New York, NY",Internet
113,Data Scientist,$102K-$121K (Glassdoor est.),-1.0,GradTests (gradtests.com),"New York, NY",-1
114,Data Scientist,$102K-$121K (Glassdoor est.),2.8,"Committee of 100
2.8","New York, NY",Social Assistance
115,Data Scientist / Statistician,$102K-$121K (Glassdoor est.),4.2,"NJF Global Holdings
4.2","New York, NY",Staffing & Outsourcing
116,Data Analyst,$102K-$121K (Glassdoor est.),4.0,"DMGT
4.0","New York, NY",Venture Capital & Private Equity
117,Data Scientist (Java),$102K-$121K (Glassdoor est.),4.9,"ubergig
4.9","New York, NY",Building & Personnel Services
118,Data Scientist,$102K-$121K (Glassdoor est.),4.0,"OneWire
4.0","New York, NY",Staffing & Outsourcing
119,Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Thomas
3.4","New York, NY",Advertising & Marketing
120,Data Scientist,$102K-$121K (Glassdoor est.),2.7,"TBWA\Chiat\Day
2.7","New York, NY",Advertising & Marketing
121,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K-$121K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","New York, NY",Federal Agencies
122,Data Scientist,$102K-$121K (Glassdoor est.),3.4,"Harry and David, LLC
3.4","Carle Place, NY",Food & Beverage Stores
124,Senior Data Scientist,$102K-$121K (Glassdoor est.),2.5,"Foursquare
2.5","New York, NY",Internet
125,Data Scientist,$102K-$121K (Glassdoor est.),-1.0,Glean Analytics Inc.,"New York, NY",-1
127,"Data Scientist, Two Sigma Private Investments",$102K-$121K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",Investment Banking & Asset Management
128,"Senior Data Scientist, Game Analytics",$102K-$121K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY",Video Games
129,Data Scientist,$102K-$121K (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY",IT Services
130,Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Spring Health
3.6","New York, NY",Health Care Services & Hospitals
131,Senior Data Scientist,$102K-$121K (Glassdoor est.),3.8,"Grubhub
3.8","New York, NY",Internet
132,Data Scientist,$102K-$121K (Glassdoor est.),5.0,"SkillSoniq
5.0","New York, NY",-1
133,Data Scientist - Demand Forecasting,$102K-$121K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
134,Senior Data Scientist,$102K-$121K (Glassdoor est.),4.5,"Arena
4.5","New York, NY",Computer Hardware & Software
135,Quantitative Analyst Intern,$102K-$121K (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",Investment Banking & Asset Management
136,"Data Scientist / Analytics, Data Engineering",$102K-$121K (Glassdoor est.),1.0,"Sphinix Solutions
1.0","New York, NY",IT Services
137,Data Analyst (Games),$102K-$121K (Glassdoor est.),-1.0,Carry1st,"New York, NY",-1
138,Data Scientist,$102K-$121K (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","New York, NY",Accounting
139,Sports Betting Data Scientist,$102K-$121K (Glassdoor est.),-1.0,Line Sniper,"New York, NY",-1
140,Data Scientist,$102K-$121K (Glassdoor est.),3.6,"Strategic Financial Solutions
3.6","New York, NY",Consumer Product Rental
141,Data Scientist,$102K-$121K (Glassdoor est.),3.7,"Audible
3.7","Newark, NJ",Motion Picture Production & Distribution
144,Data Scientist,$129K-$210K (Glassdoor est.),3.4,"Voice
3.4","Brooklyn, NY",-1
145,Data Engineer,$129K-$210K (Glassdoor est.),4.7,"Seated
4.7","New York, NY",Internet
146,"Senior / Data Scientist, Ads and Messaging R&D",$129K-$210K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",Internet
147,Data Scientist/Data Science Instructor (Part-time),$129K-$210K (Glassdoor est.),4.9,"NYC Data Science Academy
4.9","New York, NY",Education Training Services
148,Federal - Data Scientist,$129K-$210K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","New York, NY",Computer Hardware & Software
149,Data Scientist,$129K-$210K (Glassdoor est.),3.4,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",IT Services
150,"Senior Analyst, Data Science",$129K-$210K (Glassdoor est.),3.9,"Roku
3.9","New York, NY",IT Services
151,Senior Data Scientist,$129K-$210K (Glassdoor est.),4.4,"Oliver Wyman
4.4","New York, NY",Consulting
152,Machine Learning Researcher / Data Scientist,$129K-$210K (Glassdoor est.),-1.0,"J Harlan Group, LLC","New York, NY",-1
153,Applied Scientist,$129K-$210K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
155,Data Scientist,$129K-$210K (Glassdoor est.),4.8,"InvenTech Info
4.8","Jersey City, NJ",IT Services
156,Data Analyst,$129K-$210K (Glassdoor est.),5.0,"Whip Media Group
5.0","New York, NY",-1
158,Data Scientist(s)/Machine Learning Engineer,$129K-$210K (Glassdoor est.),5.0,"Blue Horizon Tek Solutions
5.0","New York, NY",Staffing & Outsourcing
159,CCB F&BM - Quantitative Modeler / Data Scientist - Marketing - Associate,$129K-$210K (Glassdoor est.),3.9,"JPMorgan Chase Bank, N.A.
3.9","New York, NY",Investment Banking & Asset Management
160,Data Scientist,$129K-$210K (Glassdoor est.),3.8,"NPD
3.8","Port Washington, NY",Research & Development
162,"Sr. Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX",$129K-$210K (Glassdoor est.),3.3,"Fujitsu
3.3","New York, NY",-1
163,Data Scientist,$129K-$210K (Glassdoor est.),2.8,"1-800-Flowers
2.8","New York, NY",Wholesale
164,"Senior Data Scientist, Real World EvidenceNY",$129K-$210K (Glassdoor est.),4.0,"Flatiron Health
4.0","New York, NY",Enterprise Software & Network Solutions
165,Data Scientist - Leading Quant Hedge Fund,$129K-$210K (Glassdoor est.),-1.0,Edward Daniels Group,"New York, NY",IT Services
166,Data Scientist II,$129K-$210K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY",Advertising & Marketing
167,Data Scientist,$129K-$210K (Glassdoor est.),-1.0,The Organic Recruiter,"New York, NY",-1
168,Data Scientist,$129K-$210K (Glassdoor est.),3.7,"Via Transportation
3.7","New York, NY",Internet
169,Data Scientist,$129K-$210K (Glassdoor est.),-1.0,Biotenico Research and Development Company,"New York, NY",-1
170,"Principal Associate, Data Scientist - Small Business Card, Entity Resolution",$129K-$210K (Glassdoor est.),3.9,"Capital One
3.9","New York, NY",Banks & Credit Unions
171,Principal Data Scientist,$129K-$210K (Glassdoor est.),4.2,"Gallup
4.2","New York, NY",Consulting
172,Data Scientist,$129K-$210K (Glassdoor est.),1.9,"Building Service 32BJ Benefit Funds
1.9","New York, NY",Health Care Services & Hospitals
173,"Lead Data Scientist, R&D Team",$129K-$210K (Glassdoor est.),3.5,"Marsh
3.5","New York, NY",Insurance Agencies & Brokerages
176,Data Analyst,$156K-$254K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY",Advertising & Marketing
177,Business Intelligence Analyst,$156K-$254K (Glassdoor est.),4.4,"Simple Health
4.4","New York, NY",Internet
178,Product Data Analyst,$156K-$254K (Glassdoor est.),5.0,"Galileo
5.0","New York, NY",Health Care Services & Hospitals
179,Data Analyst,$156K-$254K (Glassdoor est.),3.4,"City of New York
3.4","New York, NY",Municipal Governments
180,Data Scientist,$156K-$254K (Glassdoor est.),3.1,"Catholic Health Services of Long Island
3.1","Rockville Centre, NY",Health Care Services & Hospitals
181,"Lead Data Scientist, R&D Team",$156K-$254K (Glassdoor est.),3.4,"Marsh & McLennan Companies, Inc.
3.4","New York, NY",Insurance Agencies & Brokerages
182,Data Analyst,$156K-$254K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY",-1
183,Senior Data Scientist,$156K-$254K (Glassdoor est.),-1.0,Entera,"New York, NY",Real Estate
184,Sr. Data Scientist,$156K-$254K (Glassdoor est.),4.0,"Mediaocean
4.0","New York, NY",Enterprise Software & Network Solutions
185,Senior Data Scientist,$156K-$254K (Glassdoor est.),3.4,"The Trade Desk
3.4","New York, NY",Internet
187,Senior Data Scientist,$156K-$254K (Glassdoor est.),3.6,"NYC Health + Hospitals
3.6","New York, NY",Health Care Services & Hospitals
188,NLP Machine Learning Engineer,$156K-$254K (Glassdoor est.),3.0,"Samsung NEXT
3.0","New York, NY",Computer Hardware & Software
189,Senior Data Scientist,$156K-$254K (Glassdoor est.),5.0,"Landis
5.0","New York, NY",-1
190,Senior Data Scientist,$156K-$254K (Glassdoor est.),4.1,"NewtonX
4.1","New York, NY",Internet
191,"Data Analyst, Bitcoin Trading Firm",$156K-$254K (Glassdoor est.),-1.0,Fintech Recruiters,"New York, NY",-1
192,"VP, Data Scientist",$156K-$254K (Glassdoor est.),4.5,"Spot.IM
4.5","New York, NY",Internet
193,Senior Data Engineer,$156K-$254K (Glassdoor est.),4.2,"Tapad
4.2","New York, NY",Internet
194,Data Scientist,$156K-$254K (Glassdoor est.),-1.0,Amber People,"New York, NY",-1
195,Senior Data Scientist,$156K-$254K (Glassdoor est.),5.0,"Thrasio
5.0","New York, NY",Other Retail Stores
196,Deployed Data Scientist,$156K-$254K (Glassdoor est.),-1.0,ConcertAI,"New York, NY",-1
197,Data Scientist,$156K-$254K (Glassdoor est.),-1.0,CompuForce,"New York, NY",-1
198,"Senior / Data Scientist, Advertising Business",$156K-$254K (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",Internet
199,Data Scientist,$156K-$254K (Glassdoor est.),-1.0,Wisestep,"Queens Village, NY",-1
200,"Data Scientist, Voter Data",$156K-$254K (Glassdoor est.),-1.0,Hawkfish,"New York, NY",-1
201,Data Science Analyst/Engineer,$156K-$254K (Glassdoor est.),4.1,"NYU Langone Health
4.1","New York, NY",Health Care Services & Hospitals
202,Data Scientist - Disney Streaming Services,$156K-$254K (Glassdoor est.),3.6,"Disney Streaming Services
3.6","New York, NY",Internet
203,Data Scientist,$156K-$254K (Glassdoor est.),-1.0,HireAi,"New York, NY",-1
204,Data Analyst,$156K-$254K (Glassdoor est.),3.1,"Vettery
3.1","New York, NY",Internet
205,Data Scientist,$156K-$254K (Glassdoor est.),1.0,"TEKREQS, Inc.
1.0","New York, NY",-1
208,"Manager, Data Scientist Recommendations",$119K-$147K (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",Other Retail Stores
209,Lead Data Scientist,$119K-$147K (Glassdoor est.),3.6,"eBay
3.6","New York, NY",Internet
210,Senior Data Scientist,$119K-$147K (Glassdoor est.),4.6,"Bowery Farming
4.6","New York, NY",Food Production
211,Principal Data Scientist,$119K-$147K (Glassdoor est.),4.0,"Slice (NY)
4.0","New York, NY",Internet
212,Scientist Data Analytics,$119K-$147K (Glassdoor est.),4.7,"TEEMA
4.7","New York, NY",Staffing & Outsourcing
213,Data Engineer,$119K-$147K (Glassdoor est.),4.4,"Mark43
4.4","New York, NY",Enterprise Software & Network Solutions
214,Hiring Data Scientist/AI/ML,$119K-$147K (Glassdoor est.),4.0,"Comtech Global Inc
4.0","New York, NY","Health, Beauty, & Fitness"
215,Data Analyst,$119K-$147K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY",Advertising & Marketing
216,Lead Data Scientist,$119K-$147K (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY",Video Games
217,Machine Learning Engineer,$119K-$147K (Glassdoor est.),3.9,"Temboo
3.9","New York, NY",IT Services
218,Data Scientist,$119K-$147K (Glassdoor est.),1.6,"Management Decisions, Inc.
1.6","New York, NY",Advertising & Marketing
219,Sr. Data Scientist II,$119K-$147K (Glassdoor est.),3.5,"Argo Group US
3.5","New York, NY",Insurance Carriers
220,Senior Data Scientist - R&D Oncology,$119K-$147K (Glassdoor est.),4.0,"AstraZeneca
4.0","New York, NY",Biotech & Pharmaceuticals
222,Data Analyst,$119K-$147K (Glassdoor est.),3.5,"FINRA
3.5","New York, NY",Brokerage Services
223,Data Scientist,$119K-$147K (Glassdoor est.),5.0,"Prolancer
5.0","New York, NY",-1
224,Data Scientist Product Manager,$119K-$147K (Glassdoor est.),5.0,"Thrasio
5.0","New York, NY",Other Retail Stores
225,"Senior Data Scientist, Real World Evidence",$119K-$147K (Glassdoor est.),4.0,"Flatiron Health
4.0","New York, NY",Enterprise Software & Network Solutions
226,Data Scientist/Python Developer,$119K-$147K (Glassdoor est.),3.5,"EDP World, Inc.
3.5","New York, NY",Staffing & Outsourcing
227,"Software Engineer - Data Engineering, Finance Products",$119K-$147K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",Internet
228,Senior Data Scientist,$119K-$147K (Glassdoor est.),3.6,"TRANZACT
3.6","Fort Lee, NJ",Advertising & Marketing
230,Data Engineer,$119K-$147K (Glassdoor est.),4.7,"B12
4.7","New York, NY",Internet
231,Data Scientist,$119K-$147K (Glassdoor est.),-1.0,Simatree,"Middletown, NJ",Commercial Equipment Rental
232,Senior Data Scientist,$119K-$147K (Glassdoor est.),5.0,"Averity
5.0","New York, NY",Staffing & Outsourcing
233,"Senior Scientist, Computational Biology",$119K-$147K (Glassdoor est.),3.9,"Icahn School of Medicine at Mount Sinai
3.9","New York, NY",-1
234,Senior Data Scientist,$119K-$147K (Glassdoor est.),4.2,"CyberCoders
4.2","New York, NY",Staffing & Outsourcing
235,Data Engineer,$119K-$147K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",Insurance Carriers
236,Sr Data Scientist,$119K-$147K (Glassdoor est.),3.1,"Healthfirst (New York)
3.1","New York, NY",Insurance Carriers
237,Data Scientist,$119K-$147K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY",Health Care Services & Hospitals
242,Data Visualization Engineer,$116K-$152K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",Investment Banking & Asset Management
245,Research Scientist,$116K-$152K (Glassdoor est.),4.1,"NYU Langone Health
4.1","New York, NY",Health Care Services & Hospitals
246,Principal Data Scientist,$116K-$152K (Glassdoor est.),3.8,"Slice
3.8","New York, NY",Lending
249,Machine Learning Engineer,$116K-$152K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY","Health, Beauty, & Fitness"
250,"Senior Data Scientist, Treasury Product Manager",$116K-$152K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY",Banks & Credit Unions
252,Data Scientist - Market and Sales Analytics,$116K-$152K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY",Research & Development
253,Sr. Data Scientist,$116K-$152K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
255,Data Scientist (Fintech),$116K-$152K (Glassdoor est.),5.0,"ingenium.agency
5.0","Brooklyn, NY",Staffing & Outsourcing
257,Data Scientist I Seller Development,$116K-$152K (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",Internet
258,"Applied Scientist, Machine Learning (BK or SF)",$116K-$152K (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",Other Retail Stores
263,AI Engineering: Data Scientist/Machine Learning Engineer,$116K-$152K (Glassdoor est.),3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Investment Banking & Asset Management
264,Quantum Data Scientist (Industrial-Process sector),$116K-$152K (Glassdoor est.),3.7,"IBM
3.7","New York, NY",IT Services
265,Principal Data Scientist,$116K-$152K (Glassdoor est.),4.3,"Caserta
4.3","New York, NY",IT Services
266,Small Business Lending Data Scientist,$116K-$152K (Glassdoor est.),3.5,"Credibly
3.5","New York, NY",Lending
267,"Data Scientist, Primary Research (Disney Streaming Services)",$116K-$152K (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY",Motion Picture Production & Distribution
269,"Machine Learning Engineer, Computer Vision",$116K-$152K (Glassdoor est.),3.0,"Samsung NEXT
3.0","New York, NY",Computer Hardware & Software
271,Sr Data Scientist,$133K-$171K (Glassdoor est.),3.1,"Healthfirst
3.1","New York, NY",Insurance Carriers
272,"Senior Data Analyst, Disney+",$133K-$171K (Glassdoor est.),4.0,"The Walt Disney Company
4.0","New York, NY",Motion Picture Production & Distribution
277,Data Analyst,$133K-$171K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",Casual Restaurants
280,Marketing Data Analyst,$133K-$171K (Glassdoor est.),3.6,"Current
3.6","New York, NY",-1
